  ID: 86, Cap: 22, Desirability: 0.272977064891, Enrollment: 22,
  ID: 87, Cap: 43, Desirability: 0.564518351654, Enrollment: 43,
  ID: 88, Cap: 23, Desirability: 0.876945454177, Enrollment: 23,
  ID: 89, Cap: 18, Desirability: 0.826519189825, Enrollment: 18,
  ID: 90, Cap: 105, Desirability: 0.610495889412, Enrollment: 74,
  ID: 91, Cap: 19, Desirability: 0.315743894399, Enrollment: 19,
  ID: 92, Cap: 19, Desirability: 0.13455563256, Enrollment: 19,
  ID: 93, Cap: 15, Desirability: 0.286873436259, Enrollment: 15,
  ID: 94, Cap: 10, Desirability: 0.226588128688, Enrollment: 10,
  ID: 95, Cap: 15, Desirability: 0.401707443499, Enrollment: 15,
  ID: 96, Cap: 14, Desirability: 0.550720431997, Enrollment: 14,
  ID: 97, Cap: 16, Desirability: 0.716637121004, Enrollment: 16,
  ID: 98, Cap: 8, Desirability: 0.696868908351, Enrollment: 8,
  ID: 99, Cap: 16, Desirability: 0.333959257995, Enrollment: 16,
  ID: 100, Cap: 10, Desirability: 0.175436735438, Enrollment: 10,
  ID: 101, Cap: 20, Desirability: 0.0025117249718, Enrollment: 20,
  ID: 102, Cap: 47, Desirability: 0.78690390599, Enrollment: 47,
  ID: 103, Cap: 27, Desirability: 0.519239115581, Enrollment: 27,
  ID: 104, Cap: 133, Desirability: 0.229421940469, Enrollment: 70,
  ID: 105, Cap: 17, Desirability: 0.724591165178, Enrollment: 17,
  ID: 106, Cap: 21, Desirability: 0.832210121153, Enrollment: 21,
  ID: 107, Cap: 147, Desirability: 0.0102430309044, Enrollment: 60,
  ID: 108, Cap: 15, Desirability: 0.586009966622, Enrollment: 15,
  ID: 109, Cap: 58, Desirability: 0.936372656292, Enrollment: 58,
  ID: 110, Cap: 24, Desirability: 0.640906080998, Enrollment: 24,
  ID: 111, Cap: 132, Desirability: 0.0376048328849, Enrollment: 76,
  ID: 112, Cap: 19, Desirability: 0.496416469715, Enrollment: 19,
  ID: 113, Cap: 28, Desirability: 0.40790377179, Enrollment: 28,
  ID: 114, Cap: 127, Desirability: 0.569386791112, Enrollment: 68,
  ID: 115, Cap: 23, Desirability: 0.0673400759867, Enrollment: 23,
  ID: 116, Cap: 18, Desirability: 0.279865074389, Enrollment: 18,
  ID: 117, Cap: 14, Desirability: 0.626334237563, Enrollment: 14,
  ID: 118, Cap: 119, Desirability: 0.729004171684, Enrollment: 61,
  ID: 119, Cap: 91, Desirability: 0.745085088678, Enrollment: 73,
  ID: 120, Cap: 20, Desirability: 0.203462295812, Enrollment: 20,
  ID: 121, Cap: 20, Desirability: 0.0995347292749, Enrollment: 20,
  ID: 122, Cap: 20, Desirability: 0.934621951795, Enrollment: 20,
  ID: 123, Cap: 96, Desirability: 0.338717474758, Enrollment: 64,
  ID: 124, Cap: 45, Desirability: 0.581543010302, Enrollment: 45,
  ID: 125, Cap: 111, Desirability: 0.992530372163, Enrollment: 62,
  ID: 126, Cap: 16, Desirability: 0.329188817079, Enrollment: 16,
  ID: 127, Cap: 86, Desirability: 0.948302511644, Enrollment: 55,
  ID: 128, Cap: 8, Desirability: 0.0341705673017, Enrollment: 8,
  ID: 129, Cap: 28, Desirability: 0.972254075023, Enrollment: 28,
  ID: 130, Cap: 130, Desirability: 0.693109887292, Enrollment: 53,
  ID: 131, Cap: 119, Desirability: 0.752597322329, Enrollment: 64,
  ID: 132, Cap: 25, Desirability: 0.528919555273, Enrollment: 25,
  ID: 133, Cap: 17, Desirability: 0.66203436962, Enrollment: 17,
  ID: 134, Cap: 13, Desirability: 0.545336355199, Enrollment: 13,
  ID: 135, Cap: 64, Desirability: 0.0521538196268, Enrollment: 63,
  ID: 136, Cap: 24, Desirability: 0.537071318503, Enrollment: 24,
  ID: 137, Cap: 89, Desirability: 0.630031396986, Enrollment: 77,
  ID: 138, Cap: 24, Desirability: 0.437050070625, Enrollment: 24,
  ID: 139, Cap: 25, Desirability: 0.237141199261, Enrollment: 25,
  ID: 140, Cap: 20, Desirability: 0.343187371569, Enrollment: 20,
  ID: 141, Cap: 20, Desirability: 0.657628277031, Enrollment: 20,
  ID: 142, Cap: 19, Desirability: 0.850635066521, Enrollment: 19,
  ID: 143, Cap: 73, Desirability: 0.539324904246, Enrollment: 73,
  ID: 144, Cap: 21, Desirability: 0.736866022314, Enrollment: 21,
  ID: 145, Cap: 115, Desirability: 0.0616800800438, Enrollment: 57,
  ID: 146, Cap: 17, Desirability: 0.294708278367, Enrollment: 17,
  ID: 147, Cap: 131, Desirability: 0.864704701724, Enrollment: 70,
  ID: 148, Cap: 23, Desirability: 0.452508421372, Enrollment: 23,
